V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30
ABCA6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,472,0,0,4,0,0,124,0,0,0,0,0,37,0
ABCA8,0,0,4,2,0,1,2,0,0,0,1,2,4,0,1,2,7,0,3,12,3,0,0,0,0,4,6,0,3,1
ABCA9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ABCB10,0,0,0,0,313,308,29,0,1,0,74,257,0,0,18,0,4,0,0,1,1712,310,0,0,0,508,0,0,421,176
ABCB11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ABCB5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
ABCB6,0,152,5,1,195,160,76,0,1009,2535,1042,146,101,0,37,423,165,340,0,109,44,130,1280,82,0,691,1118,0,3381,1111
ABCB7,0,787,0,0,377,1106,107,1,0,0,0,520,1776,104,21,399,0,0,0,0,3569,432,629,0,0,0,701,3,781,0
ABCB8,0,403,5,0,19,1,125,39,333,0,24,24,957,365,39,8,1826,52,1338,121,797,0,0,5,0,0,1,1912,4,775
ABCB9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,358,0,0,0,0,0
ABCC1,0,1,0,1245,0,0,0,3,0,0,257,0,0,0,39,190,6,0,0,2,0,0,0,0,0,0,0,0,144,295
ABCC10,0,33,0,500,251,0,0,0,65,0,190,0,11,0,46,107,0,101,44,0,0,0,0,0,0,0,0,0,378,0
ABCC11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC2,0,0,0,0,201,0,0,0,172,0,0,0,0,135,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
ABCC3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,6,0,0,0
ABCC4,0,0,631,0,0,0,325,0,6,186,50,0,90,0,0,0,0,558,0,95,1244,0,0,0,0,0,1,0,0,2549
ABCC5,9033,0,1524,1044,342,0,512,1,8,1040,43,0,2231,2,241,757,55,407,0,195,581,0,1504,0,1733,922,1448,1741,3029,748
ABCC5-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,0,0,0
ABCC6P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC6P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0
ABCC9,0,0,0,0,0,0,0,0,0,142,16,0,0,0,0,0,0,0,119,3,0,0,0,0,0,0,0,0,0,0
ABCD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,9,0,0,0,0,0,533,29
ABCD2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCD3,0,288,3344,4457,42,0,436,0,514,6233,2566,0,2655,48,0,0,5921,6,0,23,5775,0,0,26,386,848,331,0,2925,794
ABCD4,1575,849,0,0,39,0,0,9,36,0,0,0,1887,0,0,0,732,0,0,16,1077,269,0,0,0,44,0,0,195,0
ABCE1,3567,1046,4115,1192,606,1076,668,0,0,5871,2568,1589,2843,121,311,777,6100,2597,343,28,8855,1683,1198,8452,1,2951,1108,1084,6194,5880
ABCF1,1192,1076,4245,4882,1508,1109,512,861,235,11831,2892,262,1789,1281,237,611,15153,1425,1285,443,5827,573,3467,14229,2169,2372,10423,594,14073,2100
ABCF2,120,615,2408,1491,1141,1976,581,1740,0,16671,3044,1,3889,0,5,4,7311,1725,0,154,14655,25,5590,8244,1638,3366,6722,895,12066,5166
ABCF3,0,1166,1146,2957,367,645,89,1245,0,4847,725,0,3069,238,127,582,3817,629,215,327,5443,0,3039,2234,0,371,886,486,1482,1230
ABCG1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
ABCG2,0,0,0,5628,0,0,1493,0,0,3768,4161,1034,0,0,0,0,5311,0,0,116,4777,803,3106,4596,195,2060,11479,1,6311,4292
ABCG4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCG5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCG8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD10,0,0,0,301,25,316,0,0,0,91,699,49,203,0,817,0,1236,494,593,0,2551,0,0,0,0,300,0,0,0,0
ABHD11,4563,4,24,6,0,0,626,0,20,2125,911,0,0,0,1,527,2183,0,0,13,3390,165,4505,0,845,431,1723,0,21,1098
ABHD12,0,245,1199,559,37,2,112,0,144,264,485,32,0,686,0,288,5521,0,283,21,413,8,1024,0,45,279,151,0,122,32
ABHD12B,0,0,0,0,0,0,0,773,0,871,0,464,0,585,1078,230,0,0,0,1,0,0,0,0,0,381,51,0,0,0
ABHD13,0,96,5,0,418,0,235,221,0,0,0,0,1419,0,0,24,3013,0,25,1,0,0,169,0,113,0,0,0,1,0
ABHD14A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,835,0,0,0,1106,0,0,0,0,137,8,0,0,0
ABHD14A-ACY1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD14B,0,49,0,0,4,0,0,0,6,0,1,0,0,0,0,0,0,1,0,27,13,1,166,33,0,0,0,0,0,0
ABHD15,0,0,1,0,7,301,0,0,13,860,0,0,4,0,0,5,0,169,0,1,0,0,0,0,0,0,0,0,0,0
ABHD16A,0,731,708,0,1,281,0,754,444,293,900,0,2291,0,0,31,1012,425,0,85,79,0,0,1939,0,0,0,0,768,652
ABHD16B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD2,0,13,843,186,106,2,24,0,0,6,187,0,295,264,0,514,848,100,0,17,450,9,258,116,244,42,0,0,57,196
ABHD3,0,27,2013,647,6,0,0,395,0,516,203,6,0,0,0,0,1880,0,0,210,0,5,324,51,0,204,0,0,3339,779
ABHD4,0,118,0,0,0,1,15,0,0,212,30,0,0,1,0,0,1429,272,0,1,3015,0,0,0,0,92,944,1,2638,0
ABHD5,0,34,1978,3117,806,1295,1127,2,68,438,876,539,5764,20,1,0,4333,112,0,4,2196,0,2090,2270,0,1306,0,0,361,1209
ABHD6,20152,317,835,0,223,0,0,0,0,1140,0,0,2148,0,0,0,0,0,0,14,0,0,2,0,0,6,2,1655,0,0
ABHD8,0,0,0,131,0,0,18,0,0,362,61,0,0,0,0,0,280,0,0,4,183,0,0,0,25,24,102,0,371,26
ABI1,12,855,571,332,567,1877,395,1269,37,4079,2763,230,2586,785,49,1154,5167,1521,0,1,2961,588,1508,6131,18,1015,1473,6,6482,1387
ABI2,0,0,0,0,0,0,130,35,0,80,0,331,230,0,686,0,0,0,835,19,1284,0,0,0,0,0,0,1,1,261
ABI3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABI3BP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ABL1,0,117,0,0,51,81,187,0,0,0,220,90,775,723,327,0,1,1,646,31,0,0,0,0,0,0,1,0,109,16
ABL2,0,173,2408,32,11,45,0,89,12,0,290,38,1,6,661,251,1741,0,0,91,732,52,595,0,0,51,2617,0,194,5
ABLIM1,0,0,0,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
ABLIM2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABLIM3,0,0,0,0,0,0,0,0,0,0,275,0,1,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0
ABO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABR,1837,1,1059,43,1,6,340,2182,6,6622,36,3,1,2135,669,5,404,0,105,413,1293,1,167,1268,0,142,0,705,1217,723
ABRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
